Time,kraken
2013-11-29 00:00:00 UTC,3.63911373
2013-11-30 00:00:00 UTC,7.85628566
2013-12-01 00:00:00 UTC,2.22528449
2013-12-02 00:00:00 UTC,19.21190602
2013-12-03 00:00:00 UTC,13.3536076
2013-12-04 00:00:00 UTC,3.46001846
2013-12-05 00:00:00 UTC,10.29833745
2013-12-06 00:00:00 UTC,13.27737153
2013-12-07 00:00:00 UTC,7.24027655
2013-12-08 00:00:00 UTC,7.2204171
2013-12-09 00:00:00 UTC,1.08803559
2013-12-10 00:00:00 UTC,0.35892583
2013-12-11 00:00:00 UTC,0.13227083
2013-12-12 00:00:00 UTC,0.15833475
2013-12-13 00:00:00 UTC,8.30277112
2013-12-14 00:00:00 UTC,10.26
2013-12-15 00:00:00 UTC,6.15534705
2013-12-16 00:00:00 UTC,6.15167313
2013-12-17 00:00:00 UTC,1.78600756
2013-12-18 00:00:00 UTC,0.66
2013-12-19 00:00:00 UTC,0.249
2013-12-20 00:00:00 UTC,1.41948506
2013-12-21 00:00:00 UTC,0.03893064
2013-12-22 00:00:00 UTC,0.02583163
2013-12-23 00:00:00 UTC,0.01173421
2013-12-24 00:00:00 UTC,2.93243416
2013-12-25 00:00:00 UTC,0.23482622
2013-12-26 00:00:00 UTC,0.75553756
2013-12-27 00:00:00 UTC,
2013-12-28 00:00:00 UTC,0.25706
2013-12-29 00:00:00 UTC,
2013-12-30 00:00:00 UTC,
2013-12-31 00:00:00 UTC,
2014-01-01 00:00:00 UTC,2.12
2014-01-02 00:00:00 UTC,1.83896
2014-01-03 00:00:00 UTC,0.50969404
2014-01-04 00:00:00 UTC,0.3
2014-01-05 00:00:00 UTC,0.69379914
2014-01-06 00:00:00 UTC,
2014-01-07 00:00:00 UTC,
2014-01-08 00:00:00 UTC,
2014-01-09 00:00:00 UTC,
2014-01-10 00:00:00 UTC,0.04087192
2014-01-11 00:00:00 UTC,
2014-01-12 00:00:00 UTC,
2014-01-13 00:00:00 UTC,0.00051285
2014-01-14 00:00:00 UTC,
2014-01-15 00:00:00 UTC,
2014-01-16 00:00:00 UTC,
2014-01-17 00:00:00 UTC,
2014-01-18 00:00:00 UTC,
2014-01-19 00:00:00 UTC,0.99813
2014-01-20 00:00:00 UTC,1.99889021
2014-01-21 00:00:00 UTC,0.1
2014-01-22 00:00:00 UTC,0.1
2014-01-23 00:00:00 UTC,
2014-01-24 00:00:00 UTC,
2014-01-25 00:00:00 UTC,
2014-01-26 00:00:00 UTC,0.2020202
2014-01-27 00:00:00 UTC,0.2
2014-01-28 00:00:00 UTC,0.03741014
2014-01-29 00:00:00 UTC,0.02386086
2014-01-30 00:00:00 UTC,3.69798
2014-01-31 00:00:00 UTC,
2014-02-01 00:00:00 UTC,
2014-02-02 00:00:00 UTC,
2014-02-03 00:00:00 UTC,0.34544666
2014-02-04 00:00:00 UTC,0.009975
2014-02-05 00:00:00 UTC,
2014-02-06 00:00:00 UTC,1.035
2014-02-07 00:00:00 UTC,0.01
2014-02-08 00:00:00 UTC,0.0095
2014-02-09 00:00:00 UTC,
2014-02-10 00:00:00 UTC,0.97512412
2014-02-11 00:00:00 UTC,0.01
2014-02-12 00:00:00 UTC,
2014-02-13 00:00:00 UTC,
2014-02-14 00:00:00 UTC,
2014-02-15 00:00:00 UTC,
2014-02-16 00:00:00 UTC,
2014-02-17 00:00:00 UTC,0.0381
2014-02-18 00:00:00 UTC,
2014-02-19 00:00:00 UTC,
2014-02-20 00:00:00 UTC,0.0498
2014-02-21 00:00:00 UTC,1.12518092
2014-02-22 00:00:00 UTC,
2014-02-23 00:00:00 UTC,
2014-02-24 00:00:00 UTC,0.00939275
2014-02-25 00:00:00 UTC,0.68
2014-02-26 00:00:00 UTC,0.0156
2014-02-27 00:00:00 UTC,
2014-02-28 00:00:00 UTC,
2014-03-01 00:00:00 UTC,
2014-03-02 00:00:00 UTC,
2014-03-03 00:00:00 UTC,
2014-03-04 00:00:00 UTC,
2014-03-05 00:00:00 UTC,0.00479276
2014-03-06 00:00:00 UTC,
2014-03-07 00:00:00 UTC,0.135
2014-03-08 00:00:00 UTC,
2014-03-09 00:00:00 UTC,
2014-03-10 00:00:00 UTC,
2014-03-11 00:00:00 UTC,0.09
2014-03-12 00:00:00 UTC,
2014-03-13 00:00:00 UTC,0.05
2014-03-14 00:00:00 UTC,
2014-03-15 00:00:00 UTC,
2014-03-16 00:00:00 UTC,
2014-03-17 00:00:00 UTC,0.09539411
2014-03-18 00:00:00 UTC,
2014-03-19 00:00:00 UTC,1.0189347
2014-03-20 00:00:00 UTC,3.32016
2014-03-21 00:00:00 UTC,1.58954373
2014-03-22 00:00:00 UTC,
2014-03-23 00:00:00 UTC,
2014-03-24 00:00:00 UTC,
2014-03-25 00:00:00 UTC,
2014-03-26 00:00:00 UTC,1.5
2014-03-27 00:00:00 UTC,3.22292091
2014-03-28 00:00:00 UTC,
2014-03-29 00:00:00 UTC,
2014-03-30 00:00:00 UTC,
2014-03-31 00:00:00 UTC,
2014-04-01 00:00:00 UTC,
2014-04-02 00:00:00 UTC,0.25
2014-04-03 00:00:00 UTC,1.89045
2014-04-04 00:00:00 UTC,1.39971642
2014-04-05 00:00:00 UTC,0.5
2014-04-06 00:00:00 UTC,
2014-04-07 00:00:00 UTC,
2014-04-08 00:00:00 UTC,0.25
2014-04-09 00:00:00 UTC,
2014-04-10 00:00:00 UTC,1.28
2014-04-11 00:00:00 UTC,0.1
2014-04-12 00:00:00 UTC,
2014-04-13 00:00:00 UTC,
2014-04-14 00:00:00 UTC,1.3
2014-04-15 00:00:00 UTC,0.4198
2014-04-16 00:00:00 UTC,0.5802
2014-04-17 00:00:00 UTC,2.451
2014-04-18 00:00:00 UTC,
2014-04-19 00:00:00 UTC,
2014-04-20 00:00:00 UTC,
2014-04-21 00:00:00 UTC,0.3
2014-04-22 00:00:00 UTC,
2014-04-23 00:00:00 UTC,0.4
2014-04-24 00:00:00 UTC,
2014-04-25 00:00:00 UTC,0.112
2014-04-26 00:00:00 UTC,
2014-04-27 00:00:00 UTC,
2014-04-28 00:00:00 UTC,2.0
2014-04-29 00:00:00 UTC,
2014-04-30 00:00:00 UTC,
2014-05-01 00:00:00 UTC,
2014-05-02 00:00:00 UTC,
2014-05-03 00:00:00 UTC,
2014-05-04 00:00:00 UTC,
2014-05-05 00:00:00 UTC,
2014-05-06 00:00:00 UTC,
2014-05-07 00:00:00 UTC,0.02332
2014-05-08 00:00:00 UTC,
2014-05-09 00:00:00 UTC,
2014-05-10 00:00:00 UTC,0.728
2014-05-11 00:00:00 UTC,0.272
2014-05-12 00:00:00 UTC,1.0
2014-05-13 00:00:00 UTC,
2014-05-14 00:00:00 UTC,1.0
2014-05-15 00:00:00 UTC,
2014-05-16 00:00:00 UTC,0.55716
2014-05-17 00:00:00 UTC,
2014-05-18 00:00:00 UTC,
2014-05-19 00:00:00 UTC,
2014-05-20 00:00:00 UTC,
2014-05-21 00:00:00 UTC,
2014-05-22 00:00:00 UTC,
2014-05-23 00:00:00 UTC,
2014-05-24 00:00:00 UTC,
2014-05-25 00:00:00 UTC,2.0
2014-05-26 00:00:00 UTC,3.44
2014-05-27 00:00:00 UTC,1.015
2014-05-28 00:00:00 UTC,
2014-05-29 00:00:00 UTC,2.25
2014-05-30 00:00:00 UTC,2.0
2014-05-31 00:00:00 UTC,11.57165
2014-06-01 00:00:00 UTC,0.75074074
2014-06-02 00:00:00 UTC,2.61751
2014-06-03 00:00:00 UTC,5.34297
2014-06-04 00:00:00 UTC,6.78572806
2014-06-05 00:00:00 UTC,0.6
2014-06-06 00:00:00 UTC,0.30596
2014-06-07 00:00:00 UTC,
2014-06-08 00:00:00 UTC,4.0
2014-06-09 00:00:00 UTC,0.02698158
2014-06-10 00:00:00 UTC,
2014-06-11 00:00:00 UTC,11.229
2014-06-12 00:00:00 UTC,
2014-06-13 00:00:00 UTC,0.32200384
2014-06-14 00:00:00 UTC,
2014-06-15 00:00:00 UTC,
2014-06-16 00:00:00 UTC,
2014-06-17 00:00:00 UTC,6.63
2014-06-18 00:00:00 UTC,7.915
2014-06-19 00:00:00 UTC,
2014-06-20 00:00:00 UTC,8.015
2014-06-21 00:00:00 UTC,
2014-06-22 00:00:00 UTC,
2014-06-23 00:00:00 UTC,7.77
2014-06-24 00:00:00 UTC,9.74674027
2014-06-25 00:00:00 UTC,2.11
2014-06-26 00:00:00 UTC,
2014-06-27 00:00:00 UTC,9.88
2014-06-28 00:00:00 UTC,2.43749
2014-06-29 00:00:00 UTC,1.14275
2014-06-30 00:00:00 UTC,
2014-07-01 00:00:00 UTC,
2014-07-02 00:00:00 UTC,
2014-07-03 00:00:00 UTC,
2014-07-04 00:00:00 UTC,
2014-07-05 00:00:00 UTC,
2014-07-06 00:00:00 UTC,
2014-07-07 00:00:00 UTC,0.85675
2014-07-08 00:00:00 UTC,
2014-07-09 00:00:00 UTC,
2014-07-10 00:00:00 UTC,3.1179
2014-07-11 00:00:00 UTC,
2014-07-12 00:00:00 UTC,
2014-07-13 00:00:00 UTC,
2014-07-14 00:00:00 UTC,
2014-07-15 00:00:00 UTC,0.04583
2014-07-16 00:00:00 UTC,
2014-07-17 00:00:00 UTC,
2014-07-18 00:00:00 UTC,
2014-07-19 00:00:00 UTC,
2014-07-20 00:00:00 UTC,
2014-07-21 00:00:00 UTC,
2014-07-22 00:00:00 UTC,
2014-07-23 00:00:00 UTC,
2014-07-24 00:00:00 UTC,
2014-07-25 00:00:00 UTC,
2014-07-26 00:00:00 UTC,
2014-07-27 00:00:00 UTC,
2014-07-28 00:00:00 UTC,
2014-07-29 00:00:00 UTC,
2014-07-30 00:00:00 UTC,0.71
2014-07-31 00:00:00 UTC,1.5167
2014-08-01 00:00:00 UTC,
2014-08-02 00:00:00 UTC,
2014-08-03 00:00:00 UTC,
2014-08-04 00:00:00 UTC,
2014-08-05 00:00:00 UTC,1.914
2014-08-06 00:00:00 UTC,
2014-08-07 00:00:00 UTC,
2014-08-08 00:00:00 UTC,
2014-08-09 00:00:00 UTC,
2014-08-10 00:00:00 UTC,
2014-08-11 00:00:00 UTC,
2014-08-12 00:00:00 UTC,
2014-08-13 00:00:00 UTC,
2014-08-14 00:00:00 UTC,
2014-08-15 00:00:00 UTC,
2014-08-16 00:00:00 UTC,0.11862491
2014-08-17 00:00:00 UTC,
2014-08-18 00:00:00 UTC,0.2
2014-08-19 00:00:00 UTC,0.01098899
2014-08-20 00:00:00 UTC,
2014-08-21 00:00:00 UTC,
2014-08-22 00:00:00 UTC,
2014-08-23 00:00:00 UTC,
2014-08-24 00:00:00 UTC,
2014-08-25 00:00:00 UTC,
2014-08-26 00:00:00 UTC,
2014-08-27 00:00:00 UTC,0.4
2014-08-28 00:00:00 UTC,
2014-08-29 00:00:00 UTC,
2014-08-30 00:00:00 UTC,1.3
2014-08-31 00:00:00 UTC,
2014-09-01 00:00:00 UTC,
2014-09-02 00:00:00 UTC,
